oak,year,Treatment,type,time,plot,count,tree
1,2018,Grazed,infested,Before,a,3,p1
2,2018,Grazed,infested,Before,a,0,p2
3,2018,Grazed,infested,Before,a,2,p3
4,2018,Grazed,infested,Before,a,3,p4
5,2018,Grazed,infested,Before,a,6,p5
1,2018,Control,infested,Before,a,24,np1
2,2018,Control,infested,Before,a,2,np2
3,2018,Control,infested,Before,a,4,np3
4,2018,Control,infested,Before,a,4,np4
5,2018,Control,infested,Before,a,2,np5
1,2018,Grazed,infested,Before,b,3,p1
2,2018,Grazed,infested,Before,b,3,p2
3,2018,Grazed,infested,Before,b,11,p3
4,2018,Grazed,infested,Before,b,9,p4
5,2018,Grazed,infested,Before,b,6,p5
1,2018,Control,infested,Before,b,9,np1
2,2018,Control,infested,Before,b,15,np2
3,2018,Control,infested,Before,b,9,np3
4,2018,Control,infested,Before,b,7,np4
5,2018,Control,infested,Before,b,1,np5
1,2018,Grazed,infested,After,a,5,p1
2,2018,Grazed,infested,After,a,0,p2
3,2018,Grazed,infested,After,a,1,p3
4,2018,Grazed,infested,After,a,1,p4
5,2018,Grazed,infested,After,a,2,p5
1,2018,Control,infested,After,a,30,np1
2,2018,Control,infested,After,a,9,np2
3,2018,Control,infested,After,a,0,np3
4,2018,Control,infested,After,a,9,np4
5,2018,Control,infested,After,a,4,np5
1,2018,Grazed,infested,After,b,2,p1
2,2018,Grazed,infested,After,b,0,p2
3,2018,Grazed,infested,After,b,6,p3
4,2018,Grazed,infested,After,b,1,p4
5,2018,Grazed,infested,After,b,1,p5
1,2018,Control,infested,After,b,5,np1
2,2018,Control,infested,After,b,14,np2
3,2018,Control,infested,After,b,9,np3
4,2018,Control,infested,After,b,13,np4
5,2018,Control,infested,After,b,2,np5
1,2018,Grazed,other,Before,a,0,p1
2,2018,Grazed,other,Before,a,5,p2
3,2018,Grazed,other,Before,a,6,p3
4,2018,Grazed,other,Before,a,1,p4
5,2018,Grazed,other,Before,a,0,p5
1,2018,Control,other,Before,a,17,np1
2,2018,Control,other,Before,a,13,np2
3,2018,Control,other,Before,a,6,np3
4,2018,Control,other,Before,a,13,np4
5,2018,Control,other,Before,a,5,np5
1,2018,Grazed,other,Before,b,6,p1
2,2018,Grazed,other,Before,b,3,p2
3,2018,Grazed,other,Before,b,22,p3
4,2018,Grazed,other,Before,b,12,p4
5,2018,Grazed,other,Before,b,5,p5
1,2018,Control,other,Before,b,21,np1
2,2018,Control,other,Before,b,27,np2
3,2018,Control,other,Before,b,7,np3
4,2018,Control,other,Before,b,21,np4
5,2018,Control,other,Before,b,3,np5
1,2018,Grazed,other,After,a,17,p1
2,2018,Grazed,other,After,a,3,p2
3,2018,Grazed,other,After,a,1,p3
4,2018,Grazed,other,After,a,1,p4
5,2018,Grazed,other,After,a,2,p5
1,2018,Control,other,After,a,20,np1
2,2018,Control,other,After,a,13,np2
3,2018,Control,other,After,a,7,np3
4,2018,Control,other,After,a,6,np4
5,2018,Control,other,After,a,3,np5
1,2018,Grazed,other,After,b,25,p1
2,2018,Grazed,other,After,b,11,p2
3,2018,Grazed,other,After,b,7,p3
4,2018,Grazed,other,After,b,5,p4
5,2018,Grazed,other,After,b,2,p5
1,2018,Control,other,After,b,8,np1
2,2018,Control,other,After,b,13,np2
3,2018,Control,other,After,b,7,np3
4,2018,Control,other,After,b,10,np4
5,2018,Control,other,After,b,4,np5
1,2019,Grazed,infested,Before,a,3,p1
2,2019,Grazed,infested,Before,a,2,p2
3,2019,Grazed,infested,Before,a,8,p3
4,2019,Grazed,infested,Before,a,9,p4
5,2019,Grazed,infested,Before,a,3,p5
1,2019,Control,infested,Before,a,8,np1
2,2019,Control,infested,Before,a,7,np2
3,2019,Control,infested,Before,a,11,np3
4,2019,Control,infested,Before,a,53,np4
5,2019,Control,infested,Before,a,15,np5
1,2019,Grazed,infested,Before,b,5,p1
2,2019,Grazed,infested,Before,b,2,p2
3,2019,Grazed,infested,Before,b,14,p3
4,2019,Grazed,infested,Before,b,5,p4
5,2019,Grazed,infested,Before,b,7,p5
1,2019,Control,infested,Before,b,6,np1
2,2019,Control,infested,Before,b,2,np2
3,2019,Control,infested,Before,b,5,np3
4,2019,Control,infested,Before,b,20,np4
5,2019,Control,infested,Before,b,12,np5
1,2019,Grazed,infested,After,a,0,p1
2,2019,Grazed,infested,After,a,0,p2
3,2019,Grazed,infested,After,a,0,p3
4,2019,Grazed,infested,After,a,0,p4
5,2019,Grazed,infested,After,a,0,p5
1,2019,Control,infested,After,a,9,np1
2,2019,Control,infested,After,a,4,np2
3,2019,Control,infested,After,a,8,np3
4,2019,Control,infested,After,a,30,np4
5,2019,Control,infested,After,a,9,np5
1,2019,Grazed,infested,After,b,0,p1
2,2019,Grazed,infested,After,b,0,p2
3,2019,Grazed,infested,After,b,1,p3
4,2019,Grazed,infested,After,b,0,p4
5,2019,Grazed,infested,After,b,0,p5
1,2019,Control,infested,After,b,17,np1
2,2019,Control,infested,After,b,6,np2
3,2019,Control,infested,After,b,15,np3
4,2019,Control,infested,After,b,56,np4
5,2019,Control,infested,After,b,22,np5
1,2019,Grazed,other,Before,a,5,p1
2,2019,Grazed,other,Before,a,9,p2
3,2019,Grazed,other,Before,a,21,p3
4,2019,Grazed,other,Before,a,17,p4
5,2019,Grazed,other,Before,a,5,p5
1,2019,Control,other,Before,a,17,np1
2,2019,Control,other,Before,a,29,np2
3,2019,Control,other,Before,a,26,np3
4,2019,Control,other,Before,a,226,np4
5,2019,Control,other,Before,a,38,np5
1,2019,Grazed,other,Before,b,6,p1
2,2019,Grazed,other,Before,b,12,p2
3,2019,Grazed,other,Before,b,32,p3
4,2019,Grazed,other,Before,b,18,p4
5,2019,Grazed,other,Before,b,17,p5
1,2019,Control,other,Before,b,12,np1
2,2019,Control,other,Before,b,4,np2
3,2019,Control,other,Before,b,5,np3
4,2019,Control,other,Before,b,74,np4
5,2019,Control,other,Before,b,18,np5
1,2019,Grazed,other,After,a,1,p1
2,2019,Grazed,other,After,a,0,p2
3,2019,Grazed,other,After,a,3,p3
4,2019,Grazed,other,After,a,1,p4
5,2019,Grazed,other,After,a,0,p5
1,2019,Control,other,After,a,8,np1
2,2019,Control,other,After,a,11,np2
3,2019,Control,other,After,a,20,np3
4,2019,Control,other,After,a,271,np4
5,2019,Control,other,After,a,23,np5
1,2019,Grazed,other,After,b,0,p1
2,2019,Grazed,other,After,b,1,p2
3,2019,Grazed,other,After,b,1,p3
4,2019,Grazed,other,After,b,0,p4
5,2019,Grazed,other,After,b,0,p5
1,2019,Control,other,After,b,7,np1
2,2019,Control,other,After,b,2,np2
3,2019,Control,other,After,b,7,np3
4,2019,Control,other,After,b,93,np4
5,2019,Control,other,After,b,18,np5
1,2020,Grazed,infested,Before,a,0,p1
2,2020,Grazed,infested,Before,a,8,p2
3,2020,Grazed,infested,Before,a,0,p3
4,2020,Grazed,infested,Before,a,0,p4
5,2020,Grazed,infested,Before,a,2,p5
1,2020,Control,infested,Before,a,0,np1
2,2020,Control,infested,Before,a,1,np2
3,2020,Control,infested,Before,a,2,np3
4,2020,Control,infested,Before,a,2,np4
5,2020,Control,infested,Before,a,1,np5
1,2020,Grazed,infested,Before,b,0,p1
2,2020,Grazed,infested,Before,b,0,p2
3,2020,Grazed,infested,Before,b,0,p3
4,2020,Grazed,infested,Before,b,0,p4
5,2020,Grazed,infested,Before,b,0,p5
1,2020,Control,infested,Before,b,0,np1
2,2020,Control,infested,Before,b,0,np2
3,2020,Control,infested,Before,b,0,np3
4,2020,Control,infested,Before,b,0,np4
5,2020,Control,infested,Before,b,0,np5
1,2020,Grazed,other,Before,a,0,p1
2,2020,Grazed,other,Before,a,1,p2
3,2020,Grazed,other,Before,a,0,p3
4,2020,Grazed,other,Before,a,0,p4
5,2020,Grazed,other,Before,a,0,p5
1,2020,Control,other,Before,a,0,np1
2,2020,Control,other,Before,a,0,np2
3,2020,Control,other,Before,a,0,np3
4,2020,Control,other,Before,a,0,np4
5,2020,Control,other,Before,a,0,np5
1,2020,Grazed,other,Before,b,0,p1
2,2020,Grazed,other,Before,b,0,p2
3,2020,Grazed,other,Before,b,0,p3
4,2020,Grazed,other,Before,b,0,p4
5,2020,Grazed,other,Before,b,0,p5
1,2020,Control,other,Before,b,0,np1
2,2020,Control,other,Before,b,0,np2
3,2020,Control,other,Before,b,0,np3
4,2020,Control,other,Before,b,0,np4
5,2020,Control,other,Before,b,0,np5
