trap,year,type,month,Treatment,Habitat,count
1,2018,Abundance,june,Grazed,Oak,1
2,2018,Abundance,june,Grazed,Oak,0
3,2018,Abundance,june,Grazed,Oak,0
4,2018,Abundance,june,Grazed,Oak,1
1,2018,Abundance,june,Control,Oak,1
2,2018,Abundance,june,Control,Oak,1
3,2018,Abundance,june,Control,Oak,2
4,2018,Abundance,june,Control,Oak,1
1,2018,Abundance,june,Grazed,Hazelnut,0
2,2018,Abundance,june,Grazed,Hazelnut,0
3,2018,Abundance,june,Grazed,Hazelnut,1
4,2018,Abundance,june,Grazed,Hazelnut,1
1,2018,Abundance,june,Control,Hazelnut,1
2,2018,Abundance,june,Control,Hazelnut,0
3,2018,Abundance,june,Control,Hazelnut,0
4,2018,Abundance,june,Control,Hazelnut,0
1,2018,Abundance,july,Grazed,Oak,11
2,2018,Abundance,july,Grazed,Oak,12
3,2018,Abundance,july,Grazed,Oak,4
4,2018,Abundance,july,Grazed,Oak,11
1,2018,Abundance,july,Control,Oak,1
2,2018,Abundance,july,Control,Oak,3
3,2018,Abundance,july,Control,Oak,5
4,2018,Abundance,july,Control,Oak,0
1,2018,Abundance,july,Grazed,Hazelnut,2
2,2018,Abundance,july,Grazed,Hazelnut,0
3,2018,Abundance,july,Grazed,Hazelnut,0
4,2018,Abundance,july,Grazed,Hazelnut,0
1,2018,Abundance,july,Control,Hazelnut,0
2,2018,Abundance,july,Control,Hazelnut,2
3,2018,Abundance,july,Control,Hazelnut,3
4,2018,Abundance,july,Control,Hazelnut,1
1,2018,Abundance,augest,Grazed,Oak,8
2,2018,Abundance,augest,Grazed,Oak,21
3,2018,Abundance,augest,Grazed,Oak,2
4,2018,Abundance,augest,Grazed,Oak,5
1,2018,Abundance,augest,Control,Oak,5
2,2018,Abundance,augest,Control,Oak,8
3,2018,Abundance,augest,Control,Oak,19
4,2018,Abundance,augest,Control,Oak,2
1,2018,Abundance,augest,Grazed,Hazelnut,0
2,2018,Abundance,augest,Grazed,Hazelnut,4
3,2018,Abundance,augest,Grazed,Hazelnut,2
4,2018,Abundance,augest,Grazed,Hazelnut,3
1,2018,Abundance,augest,Control,Hazelnut,2
2,2018,Abundance,augest,Control,Hazelnut,1
3,2018,Abundance,augest,Control,Hazelnut,3
4,2018,Abundance,augest,Control,Hazelnut,2
1,2018,Abundance,september,Grazed,Oak,11
2,2018,Abundance,september,Grazed,Oak,4
3,2018,Abundance,september,Grazed,Oak,1
4,2018,Abundance,september,Grazed,Oak,1
1,2018,Abundance,september,Control,Oak,3
2,2018,Abundance,september,Control,Oak,1
3,2018,Abundance,september,Control,Oak,6
4,2018,Abundance,september,Control,Oak,0
1,2018,Abundance,september,Grazed,Hazelnut,0
2,2018,Abundance,september,Grazed,Hazelnut,1
3,2018,Abundance,september,Grazed,Hazelnut,0
4,2018,Abundance,september,Grazed,Hazelnut,0
1,2018,Abundance,september,Control,Hazelnut,1
2,2018,Abundance,september,Control,Hazelnut,0
3,2018,Abundance,september,Control,Hazelnut,1
4,2018,Abundance,september,Control,Hazelnut,2
1,2019,Abundance,june,Grazed,Oak,6
2,2019,Abundance,june,Grazed,Oak,5
3,2019,Abundance,june,Grazed,Oak,0
4,2019,Abundance,june,Grazed,Oak,2
1,2019,Abundance,june,Control,Oak,1
2,2019,Abundance,june,Control,Oak,3
3,2019,Abundance,june,Control,Oak,2
4,2019,Abundance,june,Control,Oak,3
1,2019,Abundance,june,Grazed,Hazelnut,7
2,2019,Abundance,june,Grazed,Hazelnut,3
3,2019,Abundance,june,Grazed,Hazelnut,1
4,2019,Abundance,june,Grazed,Hazelnut,0
1,2019,Abundance,june,Control,Hazelnut,0
2,2019,Abundance,june,Control,Hazelnut,7
3,2019,Abundance,june,Control,Hazelnut,6
4,2019,Abundance,june,Control,Hazelnut,7
1,2019,Abundance,july,Grazed,Oak,5
2,2019,Abundance,july,Grazed,Oak,12
3,2019,Abundance,july,Grazed,Oak,4
4,2019,Abundance,july,Grazed,Oak,2
1,2019,Abundance,july,Control,Oak,5
2,2019,Abundance,july,Control,Oak,7
3,2019,Abundance,july,Control,Oak,3
4,2019,Abundance,july,Control,Oak,15
1,2019,Abundance,july,Grazed,Hazelnut,9
2,2019,Abundance,july,Grazed,Hazelnut,2
3,2019,Abundance,july,Grazed,Hazelnut,3
4,2019,Abundance,july,Grazed,Hazelnut,8
1,2019,Abundance,july,Control,Hazelnut,2
2,2019,Abundance,july,Control,Hazelnut,5
3,2019,Abundance,july,Control,Hazelnut,22
4,2019,Abundance,july,Control,Hazelnut,9
1,2019,Abundance,augest,Grazed,Oak,3
2,2019,Abundance,augest,Grazed,Oak,8
3,2019,Abundance,augest,Grazed,Oak,4
4,2019,Abundance,augest,Grazed,Oak,4
1,2019,Abundance,augest,Control,Oak,8
2,2019,Abundance,augest,Control,Oak,9
3,2019,Abundance,augest,Control,Oak,3
4,2019,Abundance,augest,Control,Oak,6
1,2019,Abundance,augest,Grazed,Hazelnut,3
2,2019,Abundance,augest,Grazed,Hazelnut,1
3,2019,Abundance,augest,Grazed,Hazelnut,2
4,2019,Abundance,augest,Grazed,Hazelnut,0
1,2019,Abundance,augest,Control,Hazelnut,0
2,2019,Abundance,augest,Control,Hazelnut,2
3,2019,Abundance,augest,Control,Hazelnut,5
4,2019,Abundance,augest,Control,Hazelnut,3
1,2019,Abundance,september,Grazed,Oak,0
2,2019,Abundance,september,Grazed,Oak,8
3,2019,Abundance,september,Grazed,Oak,3
4,2019,Abundance,september,Grazed,Oak,1
1,2019,Abundance,september,Control,Oak,4
2,2019,Abundance,september,Control,Oak,4
3,2019,Abundance,september,Control,Oak,1
4,2019,Abundance,september,Control,Oak,6
1,2019,Abundance,september,Grazed,Hazelnut,0
2,2019,Abundance,september,Grazed,Hazelnut,1
3,2019,Abundance,september,Grazed,Hazelnut,3
4,2019,Abundance,september,Grazed,Hazelnut,0
1,2019,Abundance,september,Control,Hazelnut,0
2,2019,Abundance,september,Control,Hazelnut,0
3,2019,Abundance,september,Control,Hazelnut,3
4,2019,Abundance,september,Control,Hazelnut,0
1,2018,Emergence,june,Grazed,Oak,0
2,2018,Emergence,june,Grazed,Oak,0
3,2018,Emergence,june,Grazed,Oak,0
4,2018,Emergence,june,Grazed,Oak,0
5,2018,Emergence,june,Grazed,Oak,0
6,2018,Emergence,june,Grazed,Oak,0
7,2018,Emergence,june,Grazed,Oak,0
8,2018,Emergence,june,Grazed,Oak,0
9,2018,Emergence,june,Grazed,Oak,0
10,2018,Emergence,june,Grazed,Oak,0
1,2018,Emergence,june,Control,Oak,0
2,2018,Emergence,june,Control,Oak,0
3,2018,Emergence,june,Control,Oak,0
4,2018,Emergence,june,Control,Oak,0
5,2018,Emergence,june,Control,Oak,0
6,2018,Emergence,june,Control,Oak,0
7,2018,Emergence,june,Control,Oak,3
8,2018,Emergence,june,Control,Oak,2
9,2018,Emergence,june,Control,Oak,0
10,2018,Emergence,june,Control,Oak,1
1,2018,Emergence,june,Grazed,Hazelnut,0
2,2018,Emergence,june,Grazed,Hazelnut,0
3,2018,Emergence,june,Grazed,Hazelnut,0
4,2018,Emergence,june,Grazed,Hazelnut,0
5,2018,Emergence,june,Grazed,Hazelnut,0
6,2018,Emergence,june,Grazed,Hazelnut,0
7,2018,Emergence,june,Grazed,Hazelnut,0
8,2018,Emergence,june,Grazed,Hazelnut,0
9,2018,Emergence,june,Grazed,Hazelnut,0
10,2018,Emergence,june,Grazed,Hazelnut,0
1,2018,Emergence,june,Control,Hazelnut,0
2,2018,Emergence,june,Control,Hazelnut,0
3,2018,Emergence,june,Control,Hazelnut,0
4,2018,Emergence,june,Control,Hazelnut,0
5,2018,Emergence,june,Control,Hazelnut,0
6,2018,Emergence,june,Control,Hazelnut,0
7,2018,Emergence,june,Control,Hazelnut,0
8,2018,Emergence,june,Control,Hazelnut,0
9,2018,Emergence,june,Control,Hazelnut,0
10,2018,Emergence,june,Control,Hazelnut,0
1,2018,Emergence,july,Grazed,Oak,0
2,2018,Emergence,july,Grazed,Oak,0
3,2018,Emergence,july,Grazed,Oak,0
4,2018,Emergence,july,Grazed,Oak,1
5,2018,Emergence,july,Grazed,Oak,0
6,2018,Emergence,july,Grazed,Oak,1
7,2018,Emergence,july,Grazed,Oak,0
8,2018,Emergence,july,Grazed,Oak,2
9,2018,Emergence,july,Grazed,Oak,0
10,2018,Emergence,july,Grazed,Oak,0
1,2018,Emergence,july,Control,Oak,0
2,2018,Emergence,july,Control,Oak,3
3,2018,Emergence,july,Control,Oak,1
4,2018,Emergence,july,Control,Oak,2
5,2018,Emergence,july,Control,Oak,0
6,2018,Emergence,july,Control,Oak,1
7,2018,Emergence,july,Control,Oak,0
8,2018,Emergence,july,Control,Oak,1
9,2018,Emergence,july,Control,Oak,0
10,2018,Emergence,july,Control,Oak,2
1,2018,Emergence,july,Grazed,Hazelnut,0
2,2018,Emergence,july,Grazed,Hazelnut,0
3,2018,Emergence,july,Grazed,Hazelnut,0
4,2018,Emergence,july,Grazed,Hazelnut,0
5,2018,Emergence,july,Grazed,Hazelnut,0
6,2018,Emergence,july,Grazed,Hazelnut,0
7,2018,Emergence,july,Grazed,Hazelnut,0
8,2018,Emergence,july,Grazed,Hazelnut,0
9,2018,Emergence,july,Grazed,Hazelnut,0
10,2018,Emergence,july,Grazed,Hazelnut,0
1,2018,Emergence,july,Control,Hazelnut,0
2,2018,Emergence,july,Control,Hazelnut,0
3,2018,Emergence,july,Control,Hazelnut,0
4,2018,Emergence,july,Control,Hazelnut,0
5,2018,Emergence,july,Control,Hazelnut,0
6,2018,Emergence,july,Control,Hazelnut,0
7,2018,Emergence,july,Control,Hazelnut,0
8,2018,Emergence,july,Control,Hazelnut,0
9,2018,Emergence,july,Control,Hazelnut,0
10,2018,Emergence,july,Control,Hazelnut,0
1,2018,Emergence,augest,Grazed,Oak,2
2,2018,Emergence,augest,Grazed,Oak,1
3,2018,Emergence,augest,Grazed,Oak,0
4,2018,Emergence,augest,Grazed,Oak,1
5,2018,Emergence,augest,Grazed,Oak,0
6,2018,Emergence,augest,Grazed,Oak,0
7,2018,Emergence,augest,Grazed,Oak,1
8,2018,Emergence,augest,Grazed,Oak,0
9,2018,Emergence,augest,Grazed,Oak,1
10,2018,Emergence,augest,Grazed,Oak,0
1,2018,Emergence,augest,Control,Oak,1
2,2018,Emergence,augest,Control,Oak,0
3,2018,Emergence,augest,Control,Oak,0
4,2018,Emergence,augest,Control,Oak,0
5,2018,Emergence,augest,Control,Oak,1
6,2018,Emergence,augest,Control,Oak,0
7,2018,Emergence,augest,Control,Oak,0
8,2018,Emergence,augest,Control,Oak,0
9,2018,Emergence,augest,Control,Oak,0
10,2018,Emergence,augest,Control,Oak,0
1,2018,Emergence,augest,Grazed,Hazelnut,0
2,2018,Emergence,augest,Grazed,Hazelnut,0
3,2018,Emergence,augest,Grazed,Hazelnut,0
4,2018,Emergence,augest,Grazed,Hazelnut,0
5,2018,Emergence,augest,Grazed,Hazelnut,0
6,2018,Emergence,augest,Grazed,Hazelnut,1
7,2018,Emergence,augest,Grazed,Hazelnut,0
8,2018,Emergence,augest,Grazed,Hazelnut,0
9,2018,Emergence,augest,Grazed,Hazelnut,0
10,2018,Emergence,augest,Grazed,Hazelnut,0
1,2018,Emergence,augest,Control,Hazelnut,0
2,2018,Emergence,augest,Control,Hazelnut,0
3,2018,Emergence,augest,Control,Hazelnut,0
4,2018,Emergence,augest,Control,Hazelnut,0
5,2018,Emergence,augest,Control,Hazelnut,0
6,2018,Emergence,augest,Control,Hazelnut,0
7,2018,Emergence,augest,Control,Hazelnut,0
8,2018,Emergence,augest,Control,Hazelnut,0
9,2018,Emergence,augest,Control,Hazelnut,0
10,2018,Emergence,augest,Control,Hazelnut,0
1,2018,Emergence,september,Grazed,Oak,0
2,2018,Emergence,september,Grazed,Oak,0
3,2018,Emergence,september,Grazed,Oak,0
4,2018,Emergence,september,Grazed,Oak,0
5,2018,Emergence,september,Grazed,Oak,0
6,2018,Emergence,september,Grazed,Oak,0
7,2018,Emergence,september,Grazed,Oak,1
8,2018,Emergence,september,Grazed,Oak,0
9,2018,Emergence,september,Grazed,Oak,0
10,2018,Emergence,september,Grazed,Oak,1
1,2018,Emergence,september,Control,Oak,0
2,2018,Emergence,september,Control,Oak,0
3,2018,Emergence,september,Control,Oak,0
4,2018,Emergence,september,Control,Oak,1
5,2018,Emergence,september,Control,Oak,0
6,2018,Emergence,september,Control,Oak,0
7,2018,Emergence,september,Control,Oak,1
8,2018,Emergence,september,Control,Oak,0
9,2018,Emergence,september,Control,Oak,0
10,2018,Emergence,september,Control,Oak,1
1,2018,Emergence,september,Grazed,Hazelnut,0
2,2018,Emergence,september,Grazed,Hazelnut,0
3,2018,Emergence,september,Grazed,Hazelnut,0
4,2018,Emergence,september,Grazed,Hazelnut,0
5,2018,Emergence,september,Grazed,Hazelnut,0
6,2018,Emergence,september,Grazed,Hazelnut,0
7,2018,Emergence,september,Grazed,Hazelnut,0
8,2018,Emergence,september,Grazed,Hazelnut,0
9,2018,Emergence,september,Grazed,Hazelnut,0
10,2018,Emergence,september,Grazed,Hazelnut,0
1,2018,Emergence,september,Control,Hazelnut,0
2,2018,Emergence,september,Control,Hazelnut,0
3,2018,Emergence,september,Control,Hazelnut,0
4,2018,Emergence,september,Control,Hazelnut,0
5,2018,Emergence,september,Control,Hazelnut,0
6,2018,Emergence,september,Control,Hazelnut,0
7,2018,Emergence,september,Control,Hazelnut,0
8,2018,Emergence,september,Control,Hazelnut,0
9,2018,Emergence,september,Control,Hazelnut,0
10,2018,Emergence,september,Control,Hazelnut,0
1,2019,Emergence,june,Grazed,Oak,0
2,2019,Emergence,june,Grazed,Oak,0
3,2019,Emergence,june,Grazed,Oak,0
4,2019,Emergence,june,Grazed,Oak,1
5,2019,Emergence,june,Grazed,Oak,0
6,2019,Emergence,june,Grazed,Oak,0
7,2019,Emergence,june,Grazed,Oak,0
8,2019,Emergence,june,Grazed,Oak,1
9,2019,Emergence,june,Grazed,Oak,2
10,2019,Emergence,june,Grazed,Oak,0
1,2019,Emergence,june,Control,Oak,0
2,2019,Emergence,june,Control,Oak,0
3,2019,Emergence,june,Control,Oak,1
4,2019,Emergence,june,Control,Oak,4
5,2019,Emergence,june,Control,Oak,0
6,2019,Emergence,june,Control,Oak,1
7,2019,Emergence,june,Control,Oak,1
8,2019,Emergence,june,Control,Oak,3
9,2019,Emergence,june,Control,Oak,1
10,2019,Emergence,june,Control,Oak,0
1,2019,Emergence,june,Grazed,Hazelnut,0
2,2019,Emergence,june,Grazed,Hazelnut,0
3,2019,Emergence,june,Grazed,Hazelnut,0
4,2019,Emergence,june,Grazed,Hazelnut,0
5,2019,Emergence,june,Grazed,Hazelnut,0
6,2019,Emergence,june,Grazed,Hazelnut,0
7,2019,Emergence,june,Grazed,Hazelnut,0
8,2019,Emergence,june,Grazed,Hazelnut,0
9,2019,Emergence,june,Grazed,Hazelnut,0
10,2019,Emergence,june,Grazed,Hazelnut,0
1,2019,Emergence,june,Control,Hazelnut,0
2,2019,Emergence,june,Control,Hazelnut,0
3,2019,Emergence,june,Control,Hazelnut,0
4,2019,Emergence,june,Control,Hazelnut,0
5,2019,Emergence,june,Control,Hazelnut,0
6,2019,Emergence,june,Control,Hazelnut,0
7,2019,Emergence,june,Control,Hazelnut,0
8,2019,Emergence,june,Control,Hazelnut,0
9,2019,Emergence,june,Control,Hazelnut,0
10,2019,Emergence,june,Control,Hazelnut,0
1,2019,Emergence,july,Grazed,Oak,0
2,2019,Emergence,july,Grazed,Oak,0
3,2019,Emergence,july,Grazed,Oak,0
4,2019,Emergence,july,Grazed,Oak,1
5,2019,Emergence,july,Grazed,Oak,0
6,2019,Emergence,july,Grazed,Oak,0
7,2019,Emergence,july,Grazed,Oak,0
8,2019,Emergence,july,Grazed,Oak,1
9,2019,Emergence,july,Grazed,Oak,2
10,2019,Emergence,july,Grazed,Oak,0
