trap,year,type,month,Treatment,Habitat,count
1,2019,Emergence,july,Control,Oak,0
2,2019,Emergence,july,Control,Oak,0
3,2019,Emergence,july,Control,Oak,1
4,2019,Emergence,july,Control,Oak,4
5,2019,Emergence,july,Control,Oak,0
6,2019,Emergence,july,Control,Oak,1
7,2019,Emergence,july,Control,Oak,1
8,2019,Emergence,july,Control,Oak,3
9,2019,Emergence,july,Control,Oak,1
10,2019,Emergence,july,Control,Oak,0
1,2019,Emergence,july,Grazed,Hazelnut,0
2,2019,Emergence,july,Grazed,Hazelnut,0
3,2019,Emergence,july,Grazed,Hazelnut,0
4,2019,Emergence,july,Grazed,Hazelnut,0
5,2019,Emergence,july,Grazed,Hazelnut,0
6,2019,Emergence,july,Grazed,Hazelnut,0
7,2019,Emergence,july,Grazed,Hazelnut,0
8,2019,Emergence,july,Grazed,Hazelnut,0
9,2019,Emergence,july,Grazed,Hazelnut,0
10,2019,Emergence,july,Grazed,Hazelnut,0
1,2019,Emergence,july,Control,Hazelnut,0
2,2019,Emergence,july,Control,Hazelnut,0
3,2019,Emergence,july,Control,Hazelnut,0
4,2019,Emergence,july,Control,Hazelnut,0
5,2019,Emergence,july,Control,Hazelnut,0
6,2019,Emergence,july,Control,Hazelnut,0
7,2019,Emergence,july,Control,Hazelnut,0
8,2019,Emergence,july,Control,Hazelnut,0
9,2019,Emergence,july,Control,Hazelnut,0
10,2019,Emergence,july,Control,Hazelnut,0
1,2019,Emergence,augest,Grazed,Oak,0
2,2019,Emergence,augest,Grazed,Oak,1
3,2019,Emergence,augest,Grazed,Oak,0
4,2019,Emergence,augest,Grazed,Oak,0
5,2019,Emergence,augest,Grazed,Oak,0
6,2019,Emergence,augest,Grazed,Oak,0
7,2019,Emergence,augest,Grazed,Oak,1
8,2019,Emergence,augest,Grazed,Oak,0
9,2019,Emergence,augest,Grazed,Oak,2
10,2019,Emergence,augest,Grazed,Oak,0
1,2019,Emergence,augest,Control,Oak,3
2,2019,Emergence,augest,Control,Oak,2
3,2019,Emergence,augest,Control,Oak,2
4,2019,Emergence,augest,Control,Oak,6
5,2019,Emergence,augest,Control,Oak,1
6,2019,Emergence,augest,Control,Oak,0
7,2019,Emergence,augest,Control,Oak,0
8,2019,Emergence,augest,Control,Oak,2
9,2019,Emergence,augest,Control,Oak,4
10,2019,Emergence,augest,Control,Oak,0
1,2019,Emergence,augest,Grazed,Hazelnut,0
2,2019,Emergence,augest,Grazed,Hazelnut,0
3,2019,Emergence,augest,Grazed,Hazelnut,0
4,2019,Emergence,augest,Grazed,Hazelnut,0
5,2019,Emergence,augest,Grazed,Hazelnut,0
6,2019,Emergence,augest,Grazed,Hazelnut,0
7,2019,Emergence,augest,Grazed,Hazelnut,0
8,2019,Emergence,augest,Grazed,Hazelnut,0
9,2019,Emergence,augest,Grazed,Hazelnut,0
10,2019,Emergence,augest,Grazed,Hazelnut,0
1,2019,Emergence,augest,Control,Hazelnut,0
2,2019,Emergence,augest,Control,Hazelnut,0
3,2019,Emergence,augest,Control,Hazelnut,0
4,2019,Emergence,augest,Control,Hazelnut,0
5,2019,Emergence,augest,Control,Hazelnut,0
6,2019,Emergence,augest,Control,Hazelnut,0
7,2019,Emergence,augest,Control,Hazelnut,0
8,2019,Emergence,augest,Control,Hazelnut,0
9,2019,Emergence,augest,Control,Hazelnut,0
10,2019,Emergence,augest,Control,Hazelnut,0
1,2019,Emergence,september,Grazed,Oak,0
2,2019,Emergence,september,Grazed,Oak,0
3,2019,Emergence,september,Grazed,Oak,0
4,2019,Emergence,september,Grazed,Oak,0
5,2019,Emergence,september,Grazed,Oak,1
6,2019,Emergence,september,Grazed,Oak,0
7,2019,Emergence,september,Grazed,Oak,0
8,2019,Emergence,september,Grazed,Oak,0
9,2019,Emergence,september,Grazed,Oak,1
10,2019,Emergence,september,Grazed,Oak,0
1,2019,Emergence,september,Control,Oak,1
2,2019,Emergence,september,Control,Oak,0
3,2019,Emergence,september,Control,Oak,0
4,2019,Emergence,september,Control,Oak,3
5,2019,Emergence,september,Control,Oak,0
6,2019,Emergence,september,Control,Oak,2
7,2019,Emergence,september,Control,Oak,0
8,2019,Emergence,september,Control,Oak,0
9,2019,Emergence,september,Control,Oak,1
10,2019,Emergence,september,Control,Oak,1
1,2019,Emergence,september,Grazed,Hazelnut,0
2,2019,Emergence,september,Grazed,Hazelnut,0
3,2019,Emergence,september,Grazed,Hazelnut,0
4,2019,Emergence,september,Grazed,Hazelnut,0
5,2019,Emergence,september,Grazed,Hazelnut,0
6,2019,Emergence,september,Grazed,Hazelnut,0
7,2019,Emergence,september,Grazed,Hazelnut,0
8,2019,Emergence,september,Grazed,Hazelnut,0
9,2019,Emergence,september,Grazed,Hazelnut,0
10,2019,Emergence,september,Grazed,Hazelnut,0
1,2019,Emergence,september,Control,Hazelnut,0
2,2019,Emergence,september,Control,Hazelnut,0
3,2019,Emergence,september,Control,Hazelnut,0
4,2019,Emergence,september,Control,Hazelnut,0
5,2019,Emergence,september,Control,Hazelnut,0
6,2019,Emergence,september,Control,Hazelnut,0
7,2019,Emergence,september,Control,Hazelnut,0
8,2019,Emergence,september,Control,Hazelnut,0
9,2019,Emergence,september,Control,Hazelnut,0
10,2019,Emergence,september,Control,Hazelnut,0
1,2020,Abundance,june,Grazed,Oak,1
2,2020,Abundance,june,Grazed,Oak,2
3,2020,Abundance,june,Grazed,Oak,1
4,2020,Abundance,june,Grazed,Oak,1
1,2020,Abundance,june,Control,Oak,3
2,2020,Abundance,june,Control,Oak,2
3,2020,Abundance,june,Control,Oak,0
4,2020,Abundance,june,Control,Oak,0
1,2020,Abundance,june,Grazed,Hazelnut,1
2,2020,Abundance,june,Grazed,Hazelnut,2
3,2020,Abundance,june,Grazed,Hazelnut,1
4,2020,Abundance,june,Grazed,Hazelnut,1
1,2020,Abundance,june,Control,Hazelnut,2
2,2020,Abundance,june,Control,Hazelnut,0
3,2020,Abundance,june,Control,Hazelnut,2
4,2020,Abundance,june,Control,Hazelnut,3
1,2020,Emergence,june,Grazed,Oak,0
2,2020,Emergence,june,Grazed,Oak,0
3,2020,Emergence,june,Grazed,Oak,0
4,2020,Emergence,june,Grazed,Oak,0
5,2020,Emergence,june,Grazed,Oak,0
6,2020,Emergence,june,Grazed,Oak,0
7,2020,Emergence,june,Grazed,Oak,0
8,2020,Emergence,june,Grazed,Oak,0
9,2020,Emergence,june,Grazed,Oak,0
10,2020,Emergence,june,Grazed,Oak,0
1,2020,Emergence,june,Control,Oak,1
2,2020,Emergence,june,Control,Oak,0
3,2020,Emergence,june,Control,Oak,0
4,2020,Emergence,june,Control,Oak,1
5,2020,Emergence,june,Control,Oak,0
6,2020,Emergence,june,Control,Oak,0
7,2020,Emergence,june,Control,Oak,0
8,2020,Emergence,june,Control,Oak,0
9,2020,Emergence,june,Control,Oak,1
10,2020,Emergence,june,Control,Oak,1
1,2020,Emergence,june,Grazed,Hazelnut,0
2,2020,Emergence,june,Grazed,Hazelnut,0
3,2020,Emergence,june,Grazed,Hazelnut,0
4,2020,Emergence,june,Grazed,Hazelnut,0
5,2020,Emergence,june,Grazed,Hazelnut,0
6,2020,Emergence,june,Grazed,Hazelnut,0
7,2020,Emergence,june,Grazed,Hazelnut,0
8,2020,Emergence,june,Grazed,Hazelnut,0
9,2020,Emergence,june,Grazed,Hazelnut,0
10,2020,Emergence,june,Grazed,Hazelnut,0
1,2020,Emergence,june,Control,Hazelnut,0
2,2020,Emergence,june,Control,Hazelnut,0
3,2020,Emergence,june,Control,Hazelnut,0
4,2020,Emergence,june,Control,Hazelnut,0
5,2020,Emergence,june,Control,Hazelnut,0
6,2020,Emergence,june,Control,Hazelnut,0
7,2020,Emergence,june,Control,Hazelnut,0
8,2020,Emergence,june,Control,Hazelnut,0
9,2020,Emergence,june,Control,Hazelnut,0
10,2020,Emergence,june,Control,Hazelnut,0
1,2020,Emergence,july,Grazed,Oak,0
2,2020,Emergence,july,Grazed,Oak,0
3,2020,Emergence,july,Grazed,Oak,1
4,2020,Emergence,july,Grazed,Oak,0
5,2020,Emergence,july,Grazed,Oak,0
6,2020,Emergence,july,Grazed,Oak,0
7,2020,Emergence,july,Grazed,Oak,0
8,2020,Emergence,july,Grazed,Oak,0
9,2020,Emergence,july,Grazed,Oak,1
10,2020,Emergence,july,Grazed,Oak,0
1,2020,Emergence,july,Control,Oak,2
2,2020,Emergence,july,Control,Oak,0
3,2020,Emergence,july,Control,Oak,0
4,2020,Emergence,july,Control,Oak,0
5,2020,Emergence,july,Control,Oak,1
6,2020,Emergence,july,Control,Oak,0
7,2020,Emergence,july,Control,Oak,0
8,2020,Emergence,july,Control,Oak,0
9,2020,Emergence,july,Control,Oak,2
10,2020,Emergence,july,Control,Oak,1
1,2020,Emergence,july,Grazed,Hazelnut,0
2,2020,Emergence,july,Grazed,Hazelnut,0
3,2020,Emergence,july,Grazed,Hazelnut,0
4,2020,Emergence,july,Grazed,Hazelnut,0
5,2020,Emergence,july,Grazed,Hazelnut,0
6,2020,Emergence,july,Grazed,Hazelnut,0
7,2020,Emergence,july,Grazed,Hazelnut,0
8,2020,Emergence,july,Grazed,Hazelnut,0
9,2020,Emergence,july,Grazed,Hazelnut,0
10,2020,Emergence,july,Grazed,Hazelnut,0
1,2020,Emergence,july,Control,Hazelnut,0
2,2020,Emergence,july,Control,Hazelnut,0
3,2020,Emergence,july,Control,Hazelnut,0
4,2020,Emergence,july,Control,Hazelnut,0
5,2020,Emergence,july,Control,Hazelnut,0
6,2020,Emergence,july,Control,Hazelnut,2
7,2020,Emergence,july,Control,Hazelnut,0
8,2020,Emergence,july,Control,Hazelnut,1
9,2020,Emergence,july,Control,Hazelnut,0
10,2020,Emergence,july,Control,Hazelnut,0
1,2020,Abundance,july,Grazed,Oak,9
2,2020,Abundance,july,Grazed,Oak,3
3,2020,Abundance,july,Grazed,Oak,1
4,2020,Abundance,july,Grazed,Oak,0
1,2020,Abundance,july,Control,Oak,10
2,2020,Abundance,july,Control,Oak,4
3,2020,Abundance,july,Control,Oak,2
4,2020,Abundance,july,Control,Oak,5
1,2020,Abundance,july,Grazed,Hazelnut,3
2,2020,Abundance,july,Grazed,Hazelnut,4
3,2020,Abundance,july,Grazed,Hazelnut,6
4,2020,Abundance,july,Grazed,Hazelnut,7
1,2020,Abundance,july,Control,Hazelnut,4
2,2020,Abundance,july,Control,Hazelnut,1
3,2020,Abundance,july,Control,Hazelnut,5
4,2020,Abundance,july,Control,Hazelnut,19
1,2020,Emergence,augest,Grazed,Oak,0
2,2020,Emergence,augest,Grazed,Oak,0
3,2020,Emergence,augest,Grazed,Oak,0
4,2020,Emergence,augest,Grazed,Oak,0
5,2020,Emergence,augest,Grazed,Oak,1
6,2020,Emergence,augest,Grazed,Oak,0
7,2020,Emergence,augest,Grazed,Oak,0
8,2020,Emergence,augest,Grazed,Oak,0
9,2020,Emergence,augest,Grazed,Oak,0
10,2020,Emergence,augest,Grazed,Oak,0
1,2020,Emergence,augest,Control,Oak,1
2,2020,Emergence,augest,Control,Oak,1
3,2020,Emergence,augest,Control,Oak,0
4,2020,Emergence,augest,Control,Oak,1
5,2020,Emergence,augest,Control,Oak,0
6,2020,Emergence,augest,Control,Oak,0
7,2020,Emergence,augest,Control,Oak,2
8,2020,Emergence,augest,Control,Oak,0
9,2020,Emergence,augest,Control,Oak,0
10,2020,Emergence,augest,Control,Oak,1
1,2020,Emergence,augest,Grazed,Hazelnut,0
2,2020,Emergence,augest,Grazed,Hazelnut,0
3,2020,Emergence,augest,Grazed,Hazelnut,0
4,2020,Emergence,augest,Grazed,Hazelnut,0
5,2020,Emergence,augest,Grazed,Hazelnut,0
6,2020,Emergence,augest,Grazed,Hazelnut,0
7,2020,Emergence,augest,Grazed,Hazelnut,0
8,2020,Emergence,augest,Grazed,Hazelnut,0
9,2020,Emergence,augest,Grazed,Hazelnut,0
10,2020,Emergence,augest,Grazed,Hazelnut,0
1,2020,Emergence,augest,Control,Hazelnut,0
2,2020,Emergence,augest,Control,Hazelnut,1
3,2020,Emergence,augest,Control,Hazelnut,0
4,2020,Emergence,augest,Control,Hazelnut,0
5,2020,Emergence,augest,Control,Hazelnut,0
6,2020,Emergence,augest,Control,Hazelnut,0
7,2020,Emergence,augest,Control,Hazelnut,0
8,2020,Emergence,augest,Control,Hazelnut,0
9,2020,Emergence,augest,Control,Hazelnut,0
10,2020,Emergence,augest,Control,Hazelnut,0
1,2020,Abundance,augest,Grazed,Oak,17
2,2020,Abundance,augest,Grazed,Oak,13
3,2020,Abundance,augest,Grazed,Oak,12
4,2020,Abundance,augest,Grazed,Oak,6
1,2020,Abundance,augest,Control,Oak,16
2,2020,Abundance,augest,Control,Oak,15
3,2020,Abundance,augest,Control,Oak,21
4,2020,Abundance,augest,Control,Oak,28
1,2020,Abundance,augest,Grazed,Hazelnut,10
2,2020,Abundance,augest,Grazed,Hazelnut,13
3,2020,Abundance,augest,Grazed,Hazelnut,5
4,2020,Abundance,augest,Grazed,Hazelnut,15
1,2020,Abundance,augest,Control,Hazelnut,14
2,2020,Abundance,augest,Control,Hazelnut,9
3,2020,Abundance,augest,Control,Hazelnut,10
4,2020,Abundance,augest,Control,Hazelnut,8
1,2020,Emergence,september,Grazed,Oak,0
2,2020,Emergence,september,Grazed,Oak,0
3,2020,Emergence,september,Grazed,Oak,0
4,2020,Emergence,september,Grazed,Oak,0
5,2020,Emergence,september,Grazed,Oak,0
6,2020,Emergence,september,Grazed,Oak,0
7,2020,Emergence,september,Grazed,Oak,0
8,2020,Emergence,september,Grazed,Oak,0
9,2020,Emergence,september,Grazed,Oak,0
10,2020,Emergence,september,Grazed,Oak,0
1,2020,Emergence,september,Control,Oak,0
2,2020,Emergence,september,Control,Oak,0
3,2020,Emergence,september,Control,Oak,0
4,2020,Emergence,september,Control,Oak,0
5,2020,Emergence,september,Control,Oak,1
6,2020,Emergence,september,Control,Oak,1
7,2020,Emergence,september,Control,Oak,0
8,2020,Emergence,september,Control,Oak,0
9,2020,Emergence,september,Control,Oak,0
10,2020,Emergence,september,Control,Oak,0
1,2020,Emergence,september,Grazed,Hazelnut,0
2,2020,Emergence,september,Grazed,Hazelnut,0
3,2020,Emergence,september,Grazed,Hazelnut,0
4,2020,Emergence,september,Grazed,Hazelnut,0
5,2020,Emergence,september,Grazed,Hazelnut,0
6,2020,Emergence,september,Grazed,Hazelnut,0
7,2020,Emergence,september,Grazed,Hazelnut,0
8,2020,Emergence,september,Grazed,Hazelnut,0
9,2020,Emergence,september,Grazed,Hazelnut,0
10,2020,Emergence,september,Grazed,Hazelnut,0
1,2020,Emergence,september,Control,Hazelnut,0
2,2020,Emergence,september,Control,Hazelnut,0
3,2020,Emergence,september,Control,Hazelnut,0
4,2020,Emergence,september,Control,Hazelnut,0
5,2020,Emergence,september,Control,Hazelnut,0
6,2020,Emergence,september,Control,Hazelnut,0
7,2020,Emergence,september,Control,Hazelnut,0
8,2020,Emergence,september,Control,Hazelnut,0
9,2020,Emergence,september,Control,Hazelnut,0
10,2020,Emergence,september,Control,Hazelnut,0
1,2020,Abundance,september,Grazed,Oak,17
2,2020,Abundance,september,Grazed,Oak,1
3,2020,Abundance,september,Grazed,Oak,15
4,2020,Abundance,september,Grazed,Oak,5
1,2020,Abundance,september,Control,Oak,17
2,2020,Abundance,september,Control,Oak,22
3,2020,Abundance,september,Control,Oak,5
4,2020,Abundance,september,Control,Oak,29
1,2020,Abundance,september,Grazed,Hazelnut,4
2,2020,Abundance,september,Grazed,Hazelnut,11
3,2020,Abundance,september,Grazed,Hazelnut,7
4,2020,Abundance,september,Grazed,Hazelnut,9
1,2020,Abundance,september,Control,Hazelnut,7
2,2020,Abundance,september,Control,Hazelnut,9
3,2020,Abundance,september,Control,Hazelnut,10
4,2020,Abundance,september,Control,Hazelnut,8
