orchard_age,block,management,seedmix,canopy,year
15,6,scraped,annuals,7,2020
15,6,scraped,perennials,0,2020
15,6,scraped,industry,10,2020
15,6,scraped,control,1,2020
15,6,flailed,annuals,11,2020
15,6,flailed,perennials,11,2020
15,6,flailed,industry,8,2020
15,6,flailed,control,1,2020
15,6,unmanaged,annuals,0,2020
15,6,unmanaged,perennials,14,2020
15,6,unmanaged,megamix,23,2020
15,6,unmanaged,control,5,2020
15,5,scraped,annuals,6,2020
15,5,scraped,perennials,10,2020
15,5,scraped,industry,4,2020
15,5,scraped,control,0,2020
15,5,flailed,annuals,12,2020
15,5,flailed,perennials,4,2020
15,5,flailed,industry,2,2020
15,5,flailed,control,0,2020
15,5,unmanaged,annuals,12,2020
15,5,unmanaged,perennials,11,2020
15,5,unmanaged,megamix,0,2020
15,5,unmanaged,control,3,2020
15,4,scraped,annuals,19,2020
15,4,scraped,perennials,14,2020
15,4,scraped,industry,3,2020
15,4,scraped,control,10,2020
15,4,flailed,annuals,13,2020
15,4,flailed,perennials,9,2020
15,4,flailed,industry,9,2020
15,4,flailed,control,3,2020
15,4,unmanaged,annuals,11,2020
15,4,unmanaged,perennials,12,2020
15,4,unmanaged,megamix,1,2020
15,4,unmanaged,control,9,2020
15,3,scraped,annuals,7,2020
15,3,scraped,perennials,10,2020
15,3,scraped,industry,8,2020
15,3,scraped,control,6,2020
15,3,flailed,annuals,3,2020
15,3,flailed,perennials,15,2020
15,3,flailed,industry,1,2020
15,3,flailed,control,2,2020
15,3,unmanaged,annuals,10,2020
15,3,unmanaged,perennials,8,2020
15,3,unmanaged,megamix,1,2020
15,3,unmanaged,control,2,2020
15,2,scraped,annuals,16,2020
15,2,scraped,perennials,7,2020
15,2,scraped,industry,19,2020
15,2,scraped,control,1,2020
15,2,flailed,annuals,14,2020
15,2,flailed,perennials,19,2020
15,2,flailed,industry,17,2020
15,2,flailed,control,33,2020
15,2,unmanaged,annuals,20,2020
15,2,unmanaged,perennials,14,2020
15,2,unmanaged,megamix,1,2020
15,2,unmanaged,control,2,2020
15,1,scraped,annuals,12,2020
15,1,scraped,perennials,71,2020
15,1,scraped,industry,7,2020
15,1,scraped,control,20,2020
15,1,flailed,annuals,12,2020
15,1,flailed,perennials,7,2020
15,1,flailed,industry,5,2020
15,1,flailed,control,2,2020
15,1,unmanaged,annuals,11,2020
15,1,unmanaged,perennials,12,2020
15,1,unmanaged,megamix,5,2020
15,1,unmanaged,control,8,2020
40,6,scraped,annuals,,2020
40,6,scraped,perennials,,2020
40,6,scraped,industry,,2020
40,6,scraped,control,,2020
40,6,flailed,annuals,,2020
40,6,flailed,perennials,,2020
40,6,flailed,industry,,2020
40,6,flailed,control,,2020
40,6,unmanaged,annuals,,2020
40,6,unmanaged,perennials,,2020
40,6,unmanaged,megamix,,2020
40,6,unmanaged,control,,2020
40,5,scraped,annuals,84,2020
40,5,scraped,perennials,87,2020
40,5,scraped,industry,87,2020
40,5,scraped,control,85,2020
40,5,flailed,annuals,82,2020
40,5,flailed,perennials,82,2020
40,5,flailed,industry,81,2020
40,5,flailed,control,78,2020
40,5,unmanaged,annuals,74,2020
40,5,unmanaged,perennials,82,2020
40,5,unmanaged,megamix,75,2020
40,5,unmanaged,control,81,2020
40,4,scraped,annuals,73,2020
40,4,scraped,perennials,83,2020
40,4,scraped,industry,84,2020
40,4,scraped,control,87,2020
40,4,flailed,annuals,82,2020
40,4,flailed,perennials,84,2020
40,4,flailed,industry,86,2020
40,4,flailed,control,89,2020
40,4,unmanaged,annuals,88,2020
40,4,unmanaged,perennials,85,2020
40,4,unmanaged,megamix,93,2020
40,4,unmanaged,control,86,2020
40,3,scraped,annuals,87,2020
40,3,scraped,perennials,88,2020
40,3,scraped,industry,88,2020
40,3,scraped,control,86,2020
40,3,flailed,annuals,85,2020
40,3,flailed,perennials,84,2020
40,3,flailed,industry,87,2020
40,3,flailed,control,79,2020
40,3,unmanaged,annuals,78,2020
40,3,unmanaged,perennials,90,2020
40,3,unmanaged,megamix,78,2020
40,3,unmanaged,control,85,2020
40,2,scraped,annuals,90,2020
40,2,scraped,perennials,91,2020
40,2,scraped,industry,90,2020
40,2,scraped,control,89,2020
40,2,flailed,annuals,91,2020
40,2,flailed,perennials,89,2020
40,2,flailed,industry,89,2020
40,2,flailed,control,89,2020
40,2,unmanaged,annuals,87,2020
40,2,unmanaged,perennials,84,2020
40,2,unmanaged,megamix,88,2020
40,2,unmanaged,control,89,2020
40,1,scraped,annuals,93,2020
40,1,scraped,perennials,91,2020
40,1,scraped,industry,91,2020
40,1,scraped,control,89,2020
40,1,flailed,annuals,93,2020
40,1,flailed,perennials,93,2020
40,1,flailed,industry,93,2020
40,1,flailed,control,94,2020
40,1,unmanaged,annuals,89,2020
40,1,unmanaged,perennials,94,2020
40,1,unmanaged,megamix,92,2020
40,1,unmanaged,control,91,2020
60,6,scraped,annuals,63,2020
60,6,scraped,perennials,92,2020
60,6,scraped,industry,62,2020
60,6,scraped,control,85,2020
60,6,flailed,annuals,75,2020
60,6,flailed,perennials,94,2020
60,6,flailed,industry,78,2020
60,6,flailed,control,92,2020
60,6,unmanaged,annuals,90,2020
60,6,unmanaged,perennials,89,2020
60,6,unmanaged,megamix,85,2020
60,6,unmanaged,control,72,2020
60,5,scraped,annuals,71,2020
60,5,scraped,perennials,76,2020
60,5,scraped,industry,78,2020
60,5,scraped,control,74,2020
60,5,flailed,annuals,79,2020
60,5,flailed,perennials,47,2020
60,5,flailed,industry,57,2020
60,5,flailed,control,58,2020
60,5,unmanaged,annuals,81,2020
60,5,unmanaged,perennials,73,2020
60,5,unmanaged,megamix,81,2020
60,5,unmanaged,control,87,2020
60,4,scraped,annuals,57,2020
60,4,scraped,perennials,62,2020
60,4,scraped,industry,63,2020
60,4,scraped,control,77,2020
60,4,flailed,annuals,74,2020
60,4,flailed,perennials,33,2020
60,4,flailed,industry,72,2020
60,4,flailed,control,44,2020
60,4,unmanaged,annuals,67,2020
60,4,unmanaged,perennials,94,2020
60,4,unmanaged,megamix,85,2020
60,4,unmanaged,control,71,2020
60,3,scraped,annuals,78,2020
60,3,scraped,perennials,49,2020
60,3,scraped,industry,67,2020
60,3,scraped,control,32,2020
60,3,flailed,annuals,63,2020
60,3,flailed,perennials,52,2020
60,3,flailed,industry,56,2020
60,3,flailed,control,43,2020
60,3,unmanaged,annuals,71,2020
60,3,unmanaged,perennials,38,2020
60,3,unmanaged,megamix,31,2020
60,3,unmanaged,control,33,2020
60,2,scraped,annuals,44,2020
60,2,scraped,perennials,58,2020
60,2,scraped,industry,58,2020
60,2,scraped,control,55,2020
60,2,flailed,annuals,58,2020
60,2,flailed,perennials,24,2020
60,2,flailed,industry,47,2020
60,2,flailed,control,55,2020
60,2,unmanaged,annuals,5,2020
60,2,unmanaged,perennials,18,2020
60,2,unmanaged,megamix,5,2020
60,2,unmanaged,control,53,2020
60,1,scraped,annuals,53,2020
60,1,scraped,perennials,29,2020
60,1,scraped,industry,52,2020
60,1,scraped,control,35,2020
60,1,flailed,annuals,86,2020
60,1,flailed,perennials,49,2020
60,1,flailed,industry,83,2020
60,1,flailed,control,91,2020
60,1,unmanaged,annuals,19,2020
60,1,unmanaged,perennials,47,2020
60,1,unmanaged,megamix,64,2020
60,1,unmanaged,control,57,2020
15,6,scraped,annuals,7,2021
15,6,scraped,perennials,7,2021
15,6,scraped,industry,22,2021
15,6,scraped,control,0,2021
15,6,flailed,annuals,22,2021
15,6,flailed,perennials,0,2021
15,6,flailed,industry,10,2021
15,6,flailed,control,1,2021
15,6,unmanaged,annuals,0,2021
15,6,unmanaged,perennials,3,2021
15,6,unmanaged,megamix,28,2021
15,6,unmanaged,control,4,2021
15,5,scraped,annuals,30,2021
15,5,scraped,perennials,10,2021
15,5,scraped,industry,0,2021
15,5,scraped,control,6,2021
15,5,flailed,annuals,22,2021
15,5,flailed,perennials,8,2021
15,5,flailed,industry,4,2021
15,5,flailed,control,1,2021
15,5,unmanaged,annuals,14,2021
15,5,unmanaged,perennials,17,2021
15,5,unmanaged,megamix,0,2021
15,5,unmanaged,control,20,2021
15,4,scraped,annuals,19,2021
15,4,scraped,perennials,7,2021
15,4,scraped,industry,17,2021
15,4,scraped,control,1,2021
15,4,flailed,annuals,28,2021
15,4,flailed,perennials,27,2021
15,4,flailed,industry,3,2021
15,4,flailed,control,3,2021
15,4,unmanaged,annuals,55,2021
15,4,unmanaged,perennials,29,2021
15,4,unmanaged,megamix,9,2021
15,4,unmanaged,control,9,2021
15,3,scraped,annuals,5,2021
15,3,scraped,perennials,14,2021
15,3,scraped,industry,3,2021
15,3,scraped,control,6,2021
15,3,flailed,annuals,17,2021
15,3,flailed,perennials,5,2021
15,3,flailed,industry,22,2021
15,3,flailed,control,11,2021
15,3,unmanaged,annuals,6,2021
15,3,unmanaged,perennials,2,2021
15,3,unmanaged,megamix,7,2021
15,3,unmanaged,control,2,2021
15,2,scraped,annuals,41,2021
15,2,scraped,perennials,13,2021
15,2,scraped,industry,15,2021
15,2,scraped,control,14,2021
15,2,flailed,annuals,49,2021
15,2,flailed,perennials,50,2021
15,2,flailed,industry,6,2021
15,2,flailed,control,1,2021
15,2,unmanaged,annuals,26,2021
15,2,unmanaged,perennials,23,2021
15,2,unmanaged,megamix,1,2021
15,2,unmanaged,control,23,2021
15,1,scraped,annuals,34,2021
15,1,scraped,perennials,28,2021
15,1,scraped,industry,9,2021
15,1,scraped,control,2,2021
15,1,flailed,annuals,7,2021
15,1,flailed,perennials,20,2021
15,1,flailed,industry,3,2021
15,1,flailed,control,0,2021
15,1,unmanaged,annuals,54,2021
15,1,unmanaged,perennials,26,2021
15,1,unmanaged,megamix,9,2021
15,1,unmanaged,control,66,2021
40,6,scraped,annuals,48,2021
40,6,scraped,perennials,44,2021
40,6,scraped,industry,46,2021
40,6,scraped,control,56,2021
40,6,flailed,annuals,51,2021
40,6,flailed,perennials,51,2021
40,6,flailed,industry,40,2021
40,6,flailed,control,60,2021
40,6,unmanaged,annuals,59,2021
40,6,unmanaged,perennials,53,2021
40,6,unmanaged,megamix,65,2021
40,6,unmanaged,control,62,2021
40,5,scraped,annuals,57,2021
40,5,scraped,perennials,61,2021
40,5,scraped,industry,47,2021
40,5,scraped,control,49,2021
40,5,flailed,annuals,59,2021
40,5,flailed,perennials,49,2021
40,5,flailed,industry,51,2021
40,5,flailed,control,41,2021
40,5,unmanaged,annuals,57,2021
40,5,unmanaged,perennials,66,2021
40,5,unmanaged,megamix,57,2021
40,5,unmanaged,control,66,2021
40,4,scraped,annuals,60,2021
40,4,scraped,perennials,45,2021
40,4,scraped,industry,44,2021
40,4,scraped,control,56,2021
40,4,flailed,annuals,47,2021
40,4,flailed,perennials,48,2021
40,4,flailed,industry,42,2021
40,4,flailed,control,46,2021
40,4,unmanaged,annuals,49,2021
40,4,unmanaged,perennials,44,2021
40,4,unmanaged,megamix,63,2021
40,4,unmanaged,control,50,2021
40,3,scraped,annuals,43,2021
40,3,scraped,perennials,38,2021
40,3,scraped,industry,44,2021
40,3,scraped,control,47,2021
40,3,flailed,annuals,37,2021
40,3,flailed,perennials,39,2021
40,3,flailed,industry,44,2021
40,3,flailed,control,40,2021
40,3,unmanaged,annuals,20,2021
40,3,unmanaged,perennials,18,2021
40,3,unmanaged,megamix,17,2021
40,3,unmanaged,control,15,2021
40,2,scraped,annuals,48,2021
40,2,scraped,perennials,41,2021
40,2,scraped,industry,47,2021
40,2,scraped,control,50,2021
40,2,flailed,annuals,61,2021
40,2,flailed,perennials,66,2021
40,2,flailed,industry,50,2021
40,2,flailed,control,50,2021
40,2,unmanaged,annuals,52,2021
40,2,unmanaged,perennials,58,2021
40,2,unmanaged,megamix,48,2021
40,2,unmanaged,control,51,2021
40,1,scraped,annuals,4,2021
40,1,scraped,perennials,6,2021
40,1,scraped,industry,0,2021
40,1,scraped,control,2,2021
40,1,flailed,annuals,58,2021
40,1,flailed,perennials,52,2021
40,1,flailed,industry,47,2021
40,1,flailed,control,43,2021
40,1,unmanaged,annuals,15,2021
40,1,unmanaged,perennials,6,2021
40,1,unmanaged,megamix,16,2021
40,1,unmanaged,control,5,2021
60,6,scraped,annuals,47,2021
60,6,scraped,perennials,52,2021
60,6,scraped,industry,42,2021
60,6,scraped,control,47,2021
60,6,flailed,annuals,47,2021
60,6,flailed,perennials,61,2021
60,6,flailed,industry,56,2021
60,6,flailed,control,51,2021
60,6,unmanaged,annuals,65,2021
60,6,unmanaged,perennials,67,2021
60,6,unmanaged,megamix,67,2021
60,6,unmanaged,control,58,2021
60,5,scraped,annuals,24,2021
60,5,scraped,perennials,41,2021
60,5,scraped,industry,46,2021
60,5,scraped,control,44,2021
60,5,flailed,annuals,26,2021
60,5,flailed,perennials,12,2021
60,5,flailed,industry,36,2021
60,5,flailed,control,51,2021
60,5,unmanaged,annuals,43,2021
60,5,unmanaged,perennials,42,2021
60,5,unmanaged,megamix,35,2021
60,5,unmanaged,control,72,2021
60,4,scraped,annuals,61,2021
60,4,scraped,perennials,54,2021
60,4,scraped,industry,40,2021
60,4,scraped,control,51,2021
60,4,flailed,annuals,39,2021
60,4,flailed,perennials,23,2021
60,4,flailed,industry,21,2021
60,4,flailed,control,25,2021
60,4,unmanaged,annuals,28,2021
60,4,unmanaged,perennials,39,2021
60,4,unmanaged,megamix,32,2021
60,4,unmanaged,control,32,2021
60,3,scraped,annuals,61,2021
60,3,scraped,perennials,54,2021
60,3,scraped,industry,26,2021
60,3,scraped,control,22,2021
60,3,flailed,annuals,26,2021
60,3,flailed,perennials,56,2021
60,3,flailed,industry,10,2021
60,3,flailed,control,12,2021
60,3,unmanaged,annuals,63,2021
60,3,unmanaged,perennials,54,2021
60,3,unmanaged,megamix,14,2021
60,3,unmanaged,control,17,2021
60,2,scraped,annuals,6,2021
60,2,scraped,perennials,17,2021
60,2,scraped,industry,21,2021
60,2,scraped,control,14,2021
60,2,flailed,annuals,21,2021
60,2,flailed,perennials,15,2021
60,2,flailed,industry,46,2021
60,2,flailed,control,49,2021
60,2,unmanaged,annuals,4,2021
60,2,unmanaged,perennials,21,2021
60,2,unmanaged,megamix,14,2021
60,2,unmanaged,control,34,2021
60,1,scraped,annuals,40,2021
60,1,scraped,perennials,27,2021
60,1,scraped,industry,48,2021
60,1,scraped,control,53,2021
60,1,flailed,annuals,62,2021
60,1,flailed,perennials,51,2021
60,1,flailed,industry,49,2021
60,1,flailed,control,32,2021
60,1,unmanaged,annuals,19,2021
60,1,unmanaged,perennials,39,2021
60,1,unmanaged,megamix,8,2021
60,1,unmanaged,control,24,2021